wohnviertel,wohnviertel_id,reinverm_median,reinverm_gini,auslaender,population
Altstadt Grossbasel,7,34167,0.93,739,2605
Vorstaedte,6,44249,0.943,1913,5020
Am Ring,8,35245,0.865,3913,10804
Breite,4,13462,0.842,2953,8932
St. Alban,3,56238,0.911,3705,11151
Gundeldingen,2,11338,0.86,7427,18865
Bruderholz,1,62152,0.959,2215,9248
Bachletten,5,35928,0.857,2906,13519
Gotthelf,9,29072,0.821,1898,6870
Iselin,10,8713,0.858,6416,16893
St. Johann,11,7124,0.868,8051,18682
Altstadt Kleinbasel,12,8871,0.906,912,2451
Clara,13,8303,0.865,1910,4079
Wettstein,14,28136,0.855,1729,5528
Hirzbrunnen,15,16113,0.849,2332,9332
Rosental,18,3000,0.88,3726,6695
Matthaeus,19,4561,0.888,8008,15816
Klybeck,17,1500,0.882,3818,7287
Kleinhueningen,16,2678,0.864,1350,2846
Riehen,20,46952,0.875,5590,21348
Bettingen,21,78649,0.948,287,1190
